Date,Open,High,Low,Close,Volume
,CVX,CVX,CVX,CVX,CVX
2023-04-17,158.66776274541516,158.80581713409725,156.67049633873708,157.3147735595703,7006000
2023-04-18,157.22274758725817,158.66776840234655,156.58766928829812,156.94662475585938,8045600
2023-04-19,155.9709969422794,157.14910786982662,155.63965236614487,157.0938720703125,5506800
2023-04-20,155.32670931412406,156.52323220284504,154.64562225693408,156.3299560546875,5851100
2023-04-21,156.3115407460716,157.01103972176057,155.40033964900343,155.65805053710938,7179000
2023-04-24,155.63965757703986,158.6585686854781,155.16104560789023,157.8302001953125,7177600
2023-04-25,156.7625708569734,156.83619051504758,155.02300097378054,155.53843688964844,5807200
2023-04-26,154.8205077153895,155.50159480425245,152.07770529290602,152.76800537109375,5927400
2023-04-27,153.18218512469727,154.0657754187318,151.93045444478457,153.66079711914062,6417200
2023-04-28,151.40582228063772,155.49240112908242,150.99164502852594,155.1610565185547,10033600
2023-05-01,154.36030829050168,155.29910628883422,153.1177625270383,153.92771911621094,6099800
2023-05-02,152.16056827687746,152.21579004197784,145.83740933322613,147.30084228515625,10701700
2023-05-03,145.56126477792859,146.86824523015642,144.2635113588304,144.34634399414062,7538100
2023-05-04,144.60406767855983,145.60730046833382,143.04858918282656,143.784912109375,7500400
2023-05-05,146.61973844825724,148.29485932395806,146.1411264648323,147.45730590820312,5801500
2023-05-08,148.70904255844047,149.38093066138677,146.82221965041745,146.87744140625,5028200
2023-05-09,145.5244567640935,147.65057869529997,145.3403795574964,146.4540557861328,5019800
2023-05-10,147.66899351957528,147.66899351957528,143.47197133257313,144.5856475830078,6161200
2023-05-11,143.0117793563854,143.87695774176544,141.64037808124132,143.784912109375,6666100
2023-05-12,144.50281744946147,145.35878281161277,143.17743904234487,144.15306091308594,4897500
2023-05-15,144.71448526557865,145.57046455198318,143.7940852834,144.68687438964844,5096700
2023-05-16,144.02419285203894,144.52121673329592,141.12493837340293,141.2906036376953,7007700
2023-05-17,142.46872552919237,143.96898218875165,141.70480580384913,143.3155059814453,6169600
2023-05-18,142.07938557790715,143.35269125378483,140.8339753440794,143.138916015625,7477700
2023-05-19,143.95678434395793,145.39737738375163,143.12031828560933,144.2727813720703,8099200
2023-05-22,142.93443243500775,143.9010299874206,141.35443302317248,141.6797332763672,11661000
2023-05-23,143.25972678050775,146.5498427334359,142.98090002951304,145.7784423828125,10436200
2023-05-24,146.80078678438142,147.37703251256377,145.25795773486607,146.16879272460938,7064000
